title,director,score
雨人,导演: 巴瑞·莱文森 Barry Levinson,8.7
青蛇,导演: 徐克 Hark Tsui,8.6
初恋这件小事,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,8.5
人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,8.7
爱乐之城,导演: 达米恩·查泽雷 Damien Chazelle,8.4
恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes,8.5
终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron,8.8
虎口脱险,导演: 杰拉尔·乌里 Gérard Oury,8.9
疯狂的麦克斯4：狂暴之路,导演: 乔治·米勒 George Miller,8.7
芙蓉镇,导演: 谢晋 Jin Xie,9.3
罗生门,导演: 黑泽明 Akira Kurosawa,8.8
新龙门客栈,导演: 李惠民 Raymond Lee,8.7
无耻混蛋,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,8.7
崖上的波妞,导演: 宫崎骏 Hayao Miyazaki,8.6
千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol,8.8
花束般的恋爱,导演: 土井裕泰 Nobuhiro Doi,8.6
title,director,score
彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,8.6
萤火虫之墓,导演: 高畑勋 Isao Takahata,8.7
哈利·波特与死亡圣器(上),导演: 大卫·叶茨 David Yates,8.5
奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,8.6
黑客帝国2：重装上阵,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,8.7
二十二,导演: 郭柯 Ke Guo,8.7
火星救援,导演: 雷德利·斯科特 Ridley Scott,8.5
白日梦想家,导演: 本·斯蒂勒 Ben Stiller,8.6
战争之王,导演: 安德鲁·尼科尔 Andrew Niccol,8.7
血钻,导演: 爱德华·兹威克 Edward Zwick,8.7
高山下的花环,导演: 谢晋 Jin Xie,9.5
步履不停,导演: 是枝裕和 Hirokazu Koreeda,8.8
房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,8.8
魂断蓝桥,导演: 茂文·勒鲁瓦 Mervyn LeRoy,8.8
千年女优,导演: 今敏 Satoshi Kon,8.8
哈利·波特与凤凰社,导演: 大卫·叶茨 David Yates,8.5
谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass,8.7
蜘蛛侠：平行宇宙,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,8.6
大红灯笼高高挂,导演: 张艺谋 Yimou Zhang,8.8
弱点,导演: 约翰·李·汉考克 John Lee Hancock,8.7
谍影重重,导演: 道格·里曼 Doug Liman,8.6
阿飞正传,导演: 王家卫 Kar Wai Wong,8.5
朗读者,导演: 史蒂芬·戴德利 Stephen Daldry,8.6
再次出发之纽约遇见你,导演: 约翰·卡尼 John Carney,8.6
燃情岁月,导演: 爱德华·兹威克 Edward Zwick,8.7
